id,sport-en,sport-de,sport-es,sport-fr,sport-ja,sport-ko,sport-pt,sport-ru,sport-th,sport-tr,sport-vi,sport-zh,sport-aa
1150,Eurovision,,,,,,,,,,,,
54,Rally,Rally,Rally,Rallye,ラリー,랠리,Rally,Ралли,แรลลี่,Ralli,Rally,汽车拉力赛,
298,Marathon Swimming,Marathon Swimming,Natación de Maratón,Marathon de Natation,水泳マラソン,마라톤 수영,Maratona Aquática,Марафонское плавание,Marathon Swimming,Marathon Swimming,Bơi Ma-ra-tông,游泳马拉松,
297,Rowing,Rudern,Remo,Aviron,ローイング,조정,Remo,Академическая гребля,Rowing,Kürek,Chèo thuyền,赛艇,
21,Futsal,Futsal,Fútbol sala,Futsal,フットサル,풋살,Futsal,Футзал,ฟุตซอล,Futsal,Bóng đá trong nhà,五人制足球,كرة الصالات
1447,Muay Thai,Siamesisches Boxen,Boxeo siamés,,シャムボクシング,,,,มวยไทย,,,暹罗拳击,
13,Beach Soccer,Beachsoccer,Fútbol Playa,Beach Soccer,ビーチサッカー,비치 사커,Futebol de Areia,Пляжный футбол,บอลชายหาด,Plaj Futbolu,Bóng Đá Bãi Biển,沙滩足球,
459,Harness,Harness,Harness,Harnais,ハーネス,하네스,Harness,,ฮาร์เนส,Atlı Araba Yarışı,Vận chuyển,马车,سباق الكارة (احصنة)
61,StarCraft,StarCraft,StarCraft,eSport StarCraft,スタークラフト,스타크래프트,Starcraft,StarCraft,อีสปอร์ต สตาร์คราฟต์,Starcraft,StarCraft,星际争霸,
1381,Entertainment,Unterhaltung,Entretenimiento,Divertissement,エンターテインメント,오락,Entretenimento,Развлечение,ความบันเทิง,Eğlence,Sự giải trí,娱乐,ترفيه
29,Motorsport,Motorsport,Deporte de motor,Auto-moto,モータースポーツ,모터 스포츠,Desportos Motorizados,Автоспорт,มอเตอร์ สปอร์ต,Motor Sporları,Đua xe thể thao,赛车,
41,Squash,Squash,Squash,Squash,スカッシュ,스쿼시,Squash,Сквош,Squash,Squash,Bóng Quần,壁球,
33,Bowls,Bowls,Bolos,Boules,ボウリング,보울스,Bowls,Игра в боулз,Bowls,Bowls,Bowling,保龄球,
58,AFL,Australian Football,Fútbol australiano,Football Australien,オージー・ルールズ,오지 룰스,Futebol Australiano,Австралийский футбол,กติกาแบบออสเตรเลีย,Avustralya Futbolu,Bóng đá Úc,澳洲足球,كرة القدم الاسترالية
299,Triathlon,Triathlon,Triatlón,Triathlon,トライアスロン,트라이애슬론,Triatlo,Триатлон,ไตรกีฬา,Triatlon,Ba môn phối hợp,铁人三项,
5,Handball,Handball,Balonmano,Handball,ハンドボール,핸드볼,Handebol,Гандбол,แฮนด์บอล,Hentbol,Bóng ném,手球,كرة اليد
295,Skateboarding,Skateboarding,Skateboarding,Skateboard,スケートボード,스케이트 보딩,Skateboard,Скейтбординг,Skateboarding,Skateboarding,Skateboarding,滑板,
52,eNBA,eBasketball,eBasketball,eBasketball,eBasketball,eBasketball,eBasquetebol,eBasketball,eBasketball,eBasketball,eBasketball,eBasketball,
53,eIce Hockey,eIce Hockey,eIce Hockey,eHockey sur Glace,eIce Hockey,eIce Hockey,eHóquei no Gelo,eIce Hockey,eIce Hockey,eIce Hockey,eIce Hockey,eIce Hockey,
